,HipID1,HipID2,HipID3,theta1,theta2,phi
12856,97635,98055,97293,0.016328692828454,0.02703094803461591,2.596405280366186
12857,97646,98174,98608,0.015153693050946037,0.02471683060036668,0.48106677650663965
12858,97647,97496,97796,0.020037230602082227,0.027675199924236737,0.616636465387749
12859,97649,97697,97938,0.013494349218906413,0.01655459371696087,1.84587729968788
12860,97650,97776,97499,0.006181969185121618,0.007703136033757479,2.5220513652544208
12861,97651,97376,97630,0.015253992306571445,0.015652790852863818,0.7919581724878125
12862,97655,97871,97244,0.029640905916568476,0.03822637415342496,0.9747409590624021
12863,97674,96882,97569,0.01740711525177041,0.021183569928396546,1.2076002739297755
12864,97675,97787,97454,0.005417203230974916,0.011834954524342613,2.926522259388281
12865,97679,97979,97886,0.01512992710890265,0.027379750337328583,1.4221145209449897
12866,97687,97871,97244,0.014699080313359692,0.024309247495406423,1.944051815064272
12867,97697,97787,97649,0.013259748382417684,0.013494349218906413,2.98962394873396
12868,97700,97757,97845,0.006413346108325376,0.009024091944841205,2.2455441899364543
12869,97709,97877,97398,0.010004021870188768,0.033602942110839536,1.4906490567995248
12870,97736,97849,97423,0.006676441386263241,0.024265761296967125,1.7907450856496865
12871,97738,96956,98444,0.02580811817567165,0.026859456967921205,2.4412002533625308
12872,97739,97484,97423,0.017576956019425476,0.019595340900395185,1.4278506987796558
12873,97742,98099,98226,0.0230067279078492,0.024006274123653523,0.2949733905205613
12874,97749,98099,98579,0.030741852401334292,0.035900005148570245,1.5550103916557982
12875,97757,97700,98071,0.006413346108325376,0.011692848926193771,1.7805589621400275
12876,97765,97961,97886,0.015344863937238436,0.016916138053215415,0.356999217486365
12877,97767,97489,97473,0.013589498625484033,0.014720155907694066,0.15145751198904206
12878,97774,97845,97700,0.00341323748579665,0.009959232726183176,1.1235654732896858
12879,97776,97650,97499,0.006181969185121618,0.013232419558842103,0.3448215548745778
12880,97783,98045,97290,0.013879704330782904,0.027076193772243146,2.3380012175218705
12881,97787,97675,97697,0.005417203230974916,0.013259748382417684,1.462194510818196
12882,97788,97867,97572,0.004689633744388773,0.009599910082404444,2.8888547901677324
12883,97789,97985,98143,0.0132298805443776,0.016000707897797544,1.0348472544999914
12884,97796,97496,97599,0.016204481465126583,0.01893089731931343,1.6221124376889144
12885,97804,97980,97384,0.016174688105349944,0.021501113623008355,2.299078722364829
12886,97816,97819,97421,0.00011137757883879458,0.026800393340665418,0.9859656751101459
12887,97819,97816,97421,0.00011137757883879458,0.02673906221680421,2.152153775142733
12888,97831,97988,98308,0.01025217566702595,0.01565057407314732,1.9796503444222355
12889,97845,97774,98013,0.00341323748579665,0.007648985698260697,3.103491293148294
12890,97849,97736,98258,0.006676441386263241,0.025629950754650854,2.0168678247137133
12891,97856,97491,97816,0.011737441210974638,0.03281817037422479,1.8303152138309926
12892,97867,97788,97572,0.004689633744388773,0.01418918011046699,0.16999750349014758
12893,97870,98044,98111,0.013571545409258775,0.016266746953024037,2.3199444930095203
12894,97871,97687,98313,0.014699080313359692,0.02403752187914407,2.578315499294531
12895,97877,97709,97398,0.010004021870188768,0.03428441781464014,1.355806152635771
12896,97886,97961,98131,0.00593302610355522,0.013062788002944688,1.0394338813264732
12897,97892,97438,98073,0.012798657279545947,0.01592677495740774,1.5173816262552857
12898,97895,97634,98194,0.016523764506587355,0.02091987315247205,1.257220556869693
12899,97915,97573,98458,0.017603782707344376,0.02591405101107294,2.897991589202551
12900,97928,97967,97966,0.006263108084338094,0.006413402433878327,0.01342682109497861
12901,97930,97485,98110,0.02023437257929733,0.02400923707108907,2.18976066769825
12902,97938,97649,97607,0.01655459371696087,0.01967570256344501,0.9609123086790461
12903,97944,98575,98399,0.03535268348441521,0.036850177606111464,0.32510234739742183
12904,97961,97886,98131,0.00593302610355522,0.011282510110123416,1.6316326906383722
12905,97966,97967,97928,0.00017271210043087084,0.006413402433878327,0.5085201866639537
12906,97967,97966,97928,0.00017271210043087084,0.006263108084338094,2.61964564583086
12907,97970,98036,98314,0.013083254982501598,0.021592480462396722,2.039452443334341
12908,97971,97611,97345,0.009286775944693671,0.02729492643025582,1.1755651096398476
12909,97979,97679,98375,0.01512992710890265,0.02136002626200466,2.3431517223605445
12910,97980,98191,97804,0.010882216697718447,0.016174688105349944,2.1047428733543017
12911,97985,97789,98143,0.0132298805443776,0.014657852284430263,1.2184063724973448
12912,97988,97831,98583,0.01025217566702595,0.01249251651683947,2.109379744171622
12913,97989,97612,97892,0.01404806487971238,0.01604963344278246,2.2376889995525593
12914,98012,98470,98421,0.02230097672583273,0.033603829988800155,0.4906239710336397
12915,98011,98138,98182,0.007542747861085278,0.00785598655309088,0.44272515547648833
12916,98013,97845,98071,0.007648985698260697,0.008230159840440126,2.526900160897331
12917,98017,98011,98182,0.008598568714790616,0.012713552493255276,0.6515136152322809
12918,98032,98485,98579,0.02642959065947229,0.027367040296008567,1.623810488124455
12919,98036,97970,98314,0.013083254982501598,0.029877237690706996,0.7007526014759391
12920,98038,98210,97966,0.009067655124546188,0.026224694021963608,1.756745762558329
12921,98044,98073,97870,0.01047264999656975,0.013571545409258775,2.894485322469629
12922,98045,97783,97290,0.013879704330782904,0.038047225472045566,0.5378572182380927
12923,98055,98379,97635,0.011770887054438567,0.016328692828454,3.101391412473493
12924,98058,98194,97634,0.006192769586088804,0.018376949255236145,2.1331377865126813
12925,98066,98353,98162,0.012327631325256452,0.01579137049409283,1.4389467120506467
12926,98068,98213,98320,0.005559990057086281,0.011416400045671498,0.5308686567752549
12927,98071,98013,97757,0.008230159840440126,0.011692848926193771,1.3624952851606007
12928,98073,98044,97892,0.01047264999656975,0.01592677495740774,2.6909258119020962
12929,98079,97787,98103,0.016055440497802907,0.02126738933981999,1.4688073441013991
12930,98085,98234,98291,0.007739493881776706,0.009593690327458184,0.6146366713011928
12931,98086,96314,101427,0.015200551571994646,0.025851920234308285,2.79664242892248
12932,98099,98226,98461,0.006978915768833468,0.01778988250504519,0.07796282499940019
12933,98103,98377,97767,0.012844339764192515,0.018212246382423875,3.098669201626476
12934,98110,98343,98143,0.011618711259086194,0.020426598020887192,0.8219407253555889
12935,98111,97870,98946,0.016266746953024037,0.0225858717816942,2.275770054005654
12936,98131,98154,97961,0.0021083533320006643,0.011282510110123416,2.6897196835592343
12937,98138,98182,98325,0.0033947092017625117,0.007277917350426171,1.1493043134197736
12938,98143,97985,98343,0.014657852284430263,0.015135591783580505,3.094285721170964
12939,98146,98571,98379,0.01890235997721204,0.021244900851138185,2.0693139666685854
12940,98152,98351,98496,0.00798983991048605,0.03747599350210068,1.1064839267527293
12941,98154,98131,97961,0.0021083533320006643,0.013211400737491472,0.38213256746918167
12942,98162,98066,98353,0.01579137049409283,0.01871245759309761,0.7116446090770341
12943,98163,98174,97646,0.017033509451763438,0.026265386805057554,0.5760891284508468
12944,98169,97979,98337,0.02661176419779924,0.027247091683142974,3.0538068669312755
12945,98174,98608,97646,0.013284040923022803,0.015153693050946037,2.104458855231633
12946,98182,98138,98325,0.0033947092017625117,0.0066540373733233365,1.5080629727224428
12947,98191,97980,98385,0.010882216697718447,0.020220557303867542,2.180693319666692
12948,98194,98058,97895,0.006192769586088804,0.02091987315247205,1.5534010901312056
12949,98209,97867,98699,0.018941124961655165,0.02089673955328288,2.4216039983992808
12950,98210,98038,97966,0.009067655124546188,0.029289980477632673,1.0756904832391583
12951,98213,98068,98320,0.005559990057086281,0.007195099234384081,2.2087577350290846
12952,98226,98099,98461,0.006978915768833468,0.01084562717588107,3.01349217273177
12953,98234,98291,98085,0.005533174499303863,0.007739493881776706,1.588576855692131
12954,98253,97895,98728,0.021082793574081382,0.02180870515535751,1.627829687907671
12955,98258,97849,97736,0.025629950754650854,0.02913995539750303,0.20820503272942675
12956,98287,98461,98766,0.019084341547902717,0.023788889084279865,0.5196503722969399
12957,98291,98234,98085,0.005533174499303863,0.009593690327458184,0.9383791265964692
12958,98308,98872,97831,0.013603305019267618,0.01565057407314732,1.8462062821260876
12959,98313,97871,98406,0.02403752187914407,0.028085881164716928,1.4262366707517469
12960,98314,98526,97938,0.015317453307963448,0.020819623361923764,1.8562264124286927
12961,98320,98213,98068,0.007195099234384081,0.011416400045671498,0.40196626178545397
12962,98325,98182,98138,0.0066540373733233365,0.007277917350426171,0.4842253674475766
12963,98332,98346,96686,0.0070108632065211465,0.029957971273166916,1.755788628102389
12964,98333,97433,97122,0.01556428399792764,0.02811157992667618,0.5741433016029883
12965,98336,98385,98191,0.005778655293099248,0.023869732002095426,0.7894489738765091
12966,98337,98738,98169,0.02542498818132247,0.027247091683142974,2.579817926697359
12967,98343,98110,98143,0.011618711259086194,0.015135591783580505,1.7225169823582815
12968,98346,98332,98959,0.0070108632065211465,0.027418307059655703,2.764733374518691
12969,98351,98152,98842,0.00798983991048605,0.03324528111937367,2.141013550188725
12970,98353,98066,98162,0.012327631325256452,0.01871245759309761,0.9910013324621123
12971,98371,98543,98209,0.008627845830557737,0.021697642836140903,1.3747425941611373
12972,98375,98154,98131,0.01507520245658513,0.017107330146724335,0.034999599048747033
12973,98377,98103,98578,0.012844339764192515,0.013668282018653029,2.513632586947523
12974,98379,98055,98915,0.011770887054438567,0.016196848692957816,2.755788797090618
12975,98382,101044,100710,0.022465868927910942,0.028485726549653367,0.20747355238315912
12976,98383,98071,98610,0.025213293201252866,0.029805906408757528,2.9784907303912296
12977,98385,98336,98191,0.005778655293099248,0.020220557303867542,2.147827180722803
12978,98399,98575,98785,0.01177752120490173,0.018115412158906097,0.5125210911429646
12979,98401,99255,99169,0.02328606287520352,0.024801749132569828,0.06322928045367442
12980,98402,98525,98701,0.011513757688301285,0.01193697326479024,1.3246201856563795
12981,98406,98313,98844,0.028085881164716928,0.03006408790896328,2.570643607255083
12982,98412,98421,98951,0.010107576957747137,0.02297137827496603,1.0544607090505003
12983,98416,97928,98910,0.0342850931891237,0.03656776070089908,3.01295293298794
12984,98421,98412,98470,0.010107576957747137,0.017450628330154223,3.0814496387171597
12985,98425,98563,98510,0.004748376655658694,0.008419873202940211,1.4285824750189682
12986,98438,98443,98234,0.0016797167745759183,0.015904882087901813,2.70063032997304
12987,98443,98438,98718,0.0016797167745759183,0.016976294831827252,2.560888114720827
12988,98444,98500,98482,0.010716709748740921,0.015132155933406938,0.08697505567735708
12989,98458,98636,98371,0.02289883766208807,0.023517200886433994,3.012043049939796
12990,98461,98226,98766,0.01084562717588107,0.011915892627656457,2.7785236891406306
12991,98470,98421,98012,0.017450628330154223,0.02230097672583273,2.0047979936513
12992,98474,98730,98922,0.02738684579704253,0.02980682295090114,1.8891691699588458
12993,98478,98624,98959,0.002544517875478256,0.01084969059147808,0.6805185299115574
12994,98482,98500,98444,0.004552068289872701,0.015132155933406938,0.2059551523346633
12995,98485,98032,99364,0.02642959065947229,0.03399251844347385,2.7266166868649613
12996,98495,97534,98522,0.016130012547876535,0.01924377756434689,2.024418930937991
12997,98496,98688,98162,0.01722836002984284,0.028452960938723796,1.0014198139003425
12998,98500,98482,98444,0.004552068289872701,0.010716709748740921,2.8486624455777703
12999,98510,98425,98563,0.008419873202940211,0.0090613550872266,0.5453718965695089
13000,98512,98682,98918,0.005720586800728312,0.0216647374210212,0.6629545929039974
13001,98522,98495,100103,0.01924377756434689,0.028213522215562573,0.9373557621874221
13002,98525,98630,98325,0.004046594060122874,0.009766843204619404,2.1799342136864235
13003,98526,98314,98823,0.015317453307963448,0.026171216308929313,1.3081346966247018
13004,98533,97674,99772,0.022974828011515354,0.026221572252283103,2.697762024281573
13005,98543,98371,98699,0.008627845830557737,0.014789814757416002,2.5308225076362674
13006,98563,98425,98510,0.004748376655658694,0.0090613550872266,1.1676382820013165
13007,98571,99102,98146,0.016443936915026484,0.01890235997721204,2.1628681353147114
13008,98575,98785,98399,0.009746472352935687,0.01177752120490173,1.9948341590547023
13009,98577,99270,98918,0.02336445171111013,0.025263020149585532,0.873568432087662
13010,98578,98641,98705,0.0031245010036038976,0.006737002002785493,0.4902434522958719
13011,98579,98032,98763,0.027367040296008567,0.034983730370745834,2.525670354156548
